from,to,relationship,start_relationship,end_relationship,function,type_action,year_action
1,2,1,1931,,,,
1,3,2,1925,,,,
8,9,1,1933,,,,
16,17,1,1943,,,,
1,6,1,1952,,,,
1,31,,,,2,1,1938
2,31,,,,2,1,1938
9,32,,,,2,1,1944
4,33,,,,1,1,1945
6,33,,,,1,1,1945
1,33,,,,1,1,1945
3,33,,,,1,1,1945
7,33,,,,1,1,1945
23,33,,,,1,1,1945
12,33,,,,1,1,1945
20,34,,,,4,1,
21,35,,,,5,2,1938
24,36,,,,,2,1945
1,37,,,,6,1,1938
1,38,,,,7,1,
7,40,,,,2,1,1944
30,39,,,,2,1,1943
1,39,,,,6,1,1943
7,39,,,,2,1,1943
16,39,,,,2,1,1943
17,39,,,,2,1,1943
3,4,2,1944,1946,,,
12,31,,,,3,1,1945
1,36,,,,,2,1945
6,36,,,,,2,1945
3,36,,,,,2,1945
4,36,,,,,2,1945
12,36,,,,,2,1945
10,36,,,,,2,1945
2,36,,,,,2,1945
