id,first_name,name,type,sex,year_birth,year_death,profession,joining,leaving,membership
1,Ruth,Ruth Andreas-Friedrich,0,1,1901,1977,2,1938,1946,1
2,Leo ,Leo Borchard ,0,2,1899,1945,3,1938,1945,1
3,Karin,Karin Friedrich,0,1,1925,2015,2,1942,1946,1
4,Alfred,Alfred Denger,0,2,1920,1983,3,1944,,1
5,Josef ,Josef Schunk ,0,2,,,5,1945,1945,1
6,Walter S.,Walter Seitz,0,2,1905,1997,5,,1946,1
7,Guenther,Guenther Brandt,0,2,1894,1968,1,1938,,1
8,Christiane,Christiane von Bergmann,0,1,,,5,1938,,1
9,Fritz,Fritz von Bergmann,0,2,1907,1982,5,1938,,1
10,Curt,Curt Eckmann,0,2,,,9,1945,,1
11,Benno ,Benno Kaminsky,0,2,,,7,1944,,1
12,Ludwig ,Ludwig Lichtwitz,0,2,1903,1961,2,1943,,1
13,Dagmar,Dagmar Meyerowitz,0,1,,,7,1944,,1
14,Hans,Hans Peters,0,2,1896,1966,9,1938,,1
15,Harald ,Harald Poelchau,0,2,1903,1972,6,1943,,1
16,Walter,Walter Reimann ,0,2,1894,1957,6,1938,,1
17,Charlotte,Charlotte Kamm,0,1,,1989,6,1938,,1
18,Ursel,Ursel Reuber,0,1,,1945,4,1944,,1
19,Joachim ,Joachim Graf von Zedwitz,0,2,1910,2001,5,1941,,1
20,Wolfgang,Wolfgang Kuehn,0,2,1906,1958,5,1942,1944,2
21,Erich,Erich Kordt,0,2,1903,1969,4,1938,1941,1
22,Susanne,Susanne Simonis,0,1,1905,,4,1938,1941,1
23,Friedrich,Friedrich Willhelm Heinz,0,2,1899,1968,8,,,2
24,Bernhard,Bernhard Pampuch,0,2,,,,,,2
25,Ralph,Ralph Neumann,0,2,1926,2015,9,1945,,1
26,Rita,Rita Neumann,0,1,1919,1977,,1945,,1
27,Cioma,Cioma Schoenhaus,0,2,1922,2015,2,,,2
28,Konrad,Konrad Latte,0,2,1922,2005,7,1943,,1
29,Elisabeth,Elisabeth Abegg,0,1,1882,1974,4,,,2
30,Bernstein,Ehepaar Bernstein,0,,,,,,,2
31,,Judenhilfe 1938,1,,,,,,,
32,,Versteckhilfe 1944,1,,,,,,,
33,,Diebstahl Fliegerschadenscheine 1945,1,,,,,,,
34,,Attestausstellung,1,,,,,,,
35,,Informationsbeschaffung,1,,,,,,,
36,,NEIN-Aktion,1,,,,,,,
37,,Ausreisehilfe 1938,1,,,,,,,
38,,Umgehung von Berufsverbot,1,,,,,,,
39,,Fluchthilfe 1943,1,,,,,,,
40,,Nachtquartier Jüdin ,1,,,,,,,
